"analysis_taxon_id","dimension","candidate_id","common_name","eligible_checklists","detections","positive_numeric_reports","X_reports","lower_bound_reports","ambiguity_affected_reports","years","locations","observers","positive_count_q50","positive_count_q90","positive_count_q99","represented_events","represented_event_complexes","positive_numeric_events","regions","maximum_event_share","maximum_observer_share","maximum_location_share","support_label","primary_period_one_detections","primary_period_two_detections","numeric_availability","core_named_eligible","exploratory_named_eligible","guild_community_eligible","positive_count_eligible","named_species_recommendation","guild_recommendation","community_recommendation","count_recommendation","cooccurrence_recommendation","recommendation_reason","specificity_panel_interpretation"
"atx_04afbeb21fb0","pooled","frozen_event_linked_frame","Hooded Merganser",262339,24754,24297,440,0,17,36,2582,2596,2,7,18,1909,1187,1882,7,0.06763,0.01369,0.08075,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",8655,7497,0.98154,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=24754;events=1909;years=36;period_support_checked;concentration_checked;count_state_preserved",
"atx_04cf65098f13","pooled","frozen_event_linked_frame","Red-throated Loon",262339,2845,2831,9,0,5,28,692,619,1,6,30,1700,1029,1687,7,0.05097,0.11634,0.08682,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",849,783,0.99508,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=2845;events=1700;years=28;period_support_checked;concentration_checked;count_state_preserved",
"atx_08bb40b40c0a","pooled","frozen_event_linked_frame","Ring-billed Gull",262339,5994,5699,294,0,1,28,800,1039,2,20,85,1138,736,1087,5,0.17684,0.02202,0.07758,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",2216,1882,0.95078,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=5994;events=1138;years=28;period_support_checked;concentration_checked;count_state_preserved",
"atx_1328b44be502","pooled","frozen_event_linked_frame","Black Scoter",262339,2261,2138,118,0,5,31,586,569,5,45,240,1414,884,1357,8,0.04865,0.03627,0.08934,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1047,782,0.9456,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=2261;events=1414;years=31;period_support_checked;concentration_checked;count_state_preserved",
"atx_136b0e66254b","pooled","frozen_event_linked_frame","Common Murre",262339,3322,3268,48,0,6,30,852,534,4,51,500,1794,1101,1793,8,0.05388,0.0873,0.09241,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",905,723,0.98374,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=3322;events=1794;years=30;period_support_checked;concentration_checked;count_state_preserved",
"atx_15dd5efcd8d6","pooled","frozen_event_linked_frame","Black Turnstone",262339,5859,5759,93,0,7,29,988,952,8,40,154,1753,1102,1704,6,0.08329,0.02304,0.11777,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",1981,1512,0.98293,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=5859;events=1753;years=29;period_support_checked;concentration_checked;count_state_preserved",
"atx_1812dd827ede","pooled","frozen_event_linked_frame","Surfbird",262339,1473,1452,18,0,3,25,360,420,7,70,300,1067,719,1060,5,0.11134,0.04481,0.17719,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",477,414,0.98574,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=1473;events=1067;years=25;period_support_checked;concentration_checked;count_state_preserved",
"atx_1930f23cc4f8","pooled","frozen_event_linked_frame","Surf Scoter",262339,23066,22351,692,0,23,37,3158,2064,12,200,4000,2709,1573,2663,8,0.05202,0.04084,0.0261,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",8014,6630,0.969,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=23066;events=2709;years=37;period_support_checked;concentration_checked;count_state_preserved",
"atx_3083477933a8","pooled","frozen_event_linked_frame","White-winged Scoter",262339,7320,7014,295,0,11,33,1307,995,6,76,600,2035,1212,1965,8,0.03238,0.05096,0.04016,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",2400,2221,0.9582,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=7320;events=2035;years=33;period_support_checked;concentration_checked;count_state_preserved",
"atx_35518e24dfdd","pooled","frozen_event_linked_frame","Common Merganser",262339,33244,32680,540,0,24,36,4072,2834,3,12,60,2528,1506,2510,8,0.03745,0.02292,0.02948,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE",10871,9659,0.98303,TRUE,TRUE,TRUE,TRUE,"named_species_core","eligible_primary_guild_membership","detection_community_eligible","positive_count_component_eligible","pairwise_support_audit_eligible","detections=33244;events=2528;years=36;period_support_checked;concentration_checked;count_state_preserved",
